,Unnamed: 0,id,title,artist,date_released,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
28,28,6NsKNk5BPMsInJmkmGd5Oh,Oblivions,The National,2019-05-17,0.479,0.55,6,-8.852,0,0.0459,0.89,0.0254,0.111,0.164,130.066,253987
29,29,26nMSS6KNIpv23jgAbjsUG,The Pull Of You,The National,2019-05-17,0.506,0.819,0,-6.473,1,0.135,0.406,0.0647,0.114,0.298,138.089,238640
30,30,1VUTiaXcxJyl2SUTJQ5a6m,Hey Rosey,The National,2019-05-17,0.631,0.609,0,-7.975,1,0.033,0.647,0.176,0.165,0.244,131.056,254107
31,31,65lu5ezyVeWJmgUp0pjeGV,I Am Easy To Find,The National,2019-05-17,0.479,0.372,11,-11.411,1,0.0324,0.932,0.43,0.244,0.193,133.88,270587
32,32,3uTxibePaIRvQbUWK7J3Vb,Her Father In The Pool,The National,2019-05-17,0.296,0.123,6,-22.737,0,0.0609,0.995,0.956,0.1,0.0383,70.12,62520
33,33,4XYvnaWMgoqdswYlg3oJRe,Where Is Her Head,The National,2019-05-17,0.525,0.854,1,-5.336,1,0.0545,0.141,0.684,0.061,0.215,96.048,281613
34,34,50DAgICmMnWaUVXQiLGlLx,Not In Kansas,The National,2019-05-17,0.488,0.348,7,-10.467,1,0.0399,0.882,2.37e-06,0.0877,0.108,78.073,404720
35,35,1W10LzfhWQjeycUgofVdnc,So Far So Fast,The National,2019-05-17,0.28,0.674,4,-11.206,1,0.038,0.717,0.456,0.0645,0.265,111.558,396893
36,36,5eDiea7aW3FmyhcK2rIIWb,Dust Swirls In Strange Light,The National,2019-05-17,0.603,0.564,4,-9.959,1,0.0343,0.657,0.109,0.128,0.189,112.058,198800
37,37,5szEXCOWnzRCI6OZg1ecKX,Hairpin Turns,The National,2019-05-17,0.652,0.449,8,-9.2,1,0.0468,0.524,0.0697,0.0906,0.416,136.091,267520
38,38,18IyalmZGqUTwvZStMf7A1,Rylan,The National,2019-05-17,0.609,0.789,11,-5.565,1,0.0468,0.403,0.0811,0.0446,0.717,144.047,223853
39,39,7cUb5aBfhANGx0CTjHuoLM,Underwater,The National,2019-05-17,0.152,0.248,0,-14.28,0,0.035,0.994,0.974,0.134,0.0377,77.771,81480
40,40,1QWDJMmEcR2cYrFENBZkLS,Light Years,The National,2019-05-17,0.544,0.316,4,-11.666,1,0.0307,0.95,0.7,0.0978,0.173,124.989,213373
41,41,7DRVOwHIJLIlAFG1pWYXoS,Nobody Else Will Be There,The National,2017-09-08,0.658,0.542,9,-10.883,1,0.0296,0.758,0.586,0.0589,0.572,99.023,280773
42,42,3ysiD7ZgsPc3xgGJ59DpS7,Day I Die,The National,2017-09-08,0.432,0.947,2,-5.442,1,0.0945,0.00389,0.711,0.0777,0.382,147.97,271533
43,43,5LtjCKfKxHT7bcwNQWgX1O,Walk It Back,The National,2017-09-08,0.727,0.474,9,-12.468,1,0.0615,0.643,0.889,0.434,0.111,126.046,359360
44,44,1HAzsv7VCvbgqrpenTRWj1,The System Only Dreams in Total Darkness,The National,2017-09-08,0.596,0.912,0,-6.74,0,0.211,0.156,0.794,0.584,0.371,110.013,236747
45,45,7wTRFTaQWhQ3AoHUWKvGAp,Born to Beg,The National,2017-09-08,0.528,0.63,7,-13.168,0,0.0611,0.925,0.852,0.101,0.266,169.489,262680
46,46,5sj0i3OgwuBsyuCnandkHT,Turtleneck,The National,2017-09-08,0.424,0.991,5,-3.832,1,0.213,0.0706,0.824,0.167,0.109,109.858,180000
47,47,1MLheFHpjzN0p1r1uQi05C,Empire Line,The National,2017-09-08,0.592,0.642,7,-10.993,0,0.0351,0.521,0.759,0.102,0.365,116.03,323760
48,48,2S8JIZCZb1cBnPyE5rxVQY,I'll Still Destroy You,The National,2017-09-08,0.536,0.837,1,-7.494,1,0.0558,0.332,0.778,0.1,0.26,144.999,315280
49,49,25RriQgYitvlhOso7ckY2r,Guilty Party,The National,2017-09-08,0.368,0.686,2,-8.332,1,0.0723,0.702,0.779,0.124,0.587,181.017,338973
50,50,4maI5FwVIzjrErduPjjZLO,Carin at the Liquor Store,The National,2017-09-08,0.54,0.615,10,-9.264,1,0.034,0.594,0.803,0.12,0.239,93.17,213733
51,51,1OdpIb0nzhDcqwkiYp0O1u,Dark Side of the Gym,The National,2017-09-08,0.642,0.475,2,-11.404,1,0.0294,0.726,0.786,0.12,0.453,103.955,290093
52,52,5AXI05aUkdL4F6o1EPvcJ8,Sleep Well Beast,The National,2017-09-08,0.434,0.603,2,-11.407,1,0.0804,0.773,0.647,0.118,0.348,137.985,393187
53,53,6gf7WF9nXNON9HdNtrdEDq,I Should Live in Salt,The National,2013-05-27,0.519,0.618,5,-7.103,1,0.0254,0.188,7.34e-06,0.106,0.139,134.036,248044
54,54,6OQip5XRRwqZJVFEJu8UTM,Demons,The National,2013-05-27,0.536,0.776,4,-6.328,0,0.0417,0.103,0.871,0.0835,0.403,149.891,211547
55,55,0QEHU0ZccfSXYUpF2iVUab,Don't Swallow the Cap,The National,2013-05-27,0.454,0.663,5,-8.54,1,0.0415,0.407,0.0466,0.0913,0.463,173.988,285533
56,56,64zdnlftDUEpPQbOut0sV2,Fireproof,The National,2013-05-27,0.481,0.472,3,-10.54,0,0.0357,0.96,0.00916,0.114,0.311,115.978,178107
57,57,7cmMZ45nWU8JtvdIzgXlli,Sea of Love,The National,2013-05-27,0.458,0.825,0,-6.301,1,0.0367,0.138,0.88,0.116,0.522,145.997,221440
58,58,1rEEgRINO05qGniV12qiZP,Heavenfaced,The National,2013-05-27,0.511,0.496,0,-9.424,1,0.0365,0.644,0.294,0.0887,0.163,160.017,263200
59,59,6XW2rKHwNnX5qzk79Qis9w,This Is The Last Time,The National,2013-05-27,0.499,0.496,0,-10.246,0,0.0327,0.644,0.368,0.0934,0.14,140.047,283387
60,60,20byjuLA86KfF9qjzxiwWG,Graceless,The National,2013-05-27,0.438,0.852,1,-6.379,0,0.177,0.154,0.726,0.112,0.346,171.988,275400
61,61,3QinothXo6s9uhwCXlI8wp,Slipped,The National,2013-05-27,0.473,0.423,1,-10.165,0,0.0346,0.779,0.00393,0.0952,0.157,115.944,265067
62,62,7rbCL7W893Zonbfnevku5s,I Need My Girl,The National,2013-05-27,0.523,0.438,0,-11.49,0,0.0356,0.867,0.0723,0.123,0.106,126.028,245240
63,63,6INX6gjqGXL5jDkt2IcdtU,Humiliation,The National,2013-05-27,0.469,0.702,5,-8.596,0,0.0423,0.776,0.253,0.254,0.433,167.755,300733
64,64,193ZaXTaD0dPz66pUYS3SQ,Pink Rabbits,The National,2013-05-27,0.501,0.657,9,-7.332,1,0.0443,0.789,0.0997,0.0908,0.282,110.11,276200
65,65,0YWGfHR36uvQwbOUvMhJuz,Hard To Find,The National,2013-05-27,0.457,0.515,8,-12.015,1,0.0318,0.791,0.00491,0.0976,0.102,113.921,253454
66,66,1bAuiVz7j2Qa78fssoVjKq,Terrible Love,The National,2010-05-11,0.257,0.794,7,-6.023,1,0.0563,0.549,0.722,0.118,0.35,77.923,279760
67,67,7cHcIOBRdq5M2ZYqpupOV0,Sorrow,The National,2010-05-11,0.55,0.74,1,-8.83,0,0.0274,0.172,0.659,0.0584,0.521,122.278,205213
68,68,3lCQ8RbB6fJaMn3mK7XRIK,Anyone’s Ghost,The National,2010-05-11,0.745,0.789,6,-7.133,1,0.0915,0.281,0.776,0.108,0.745,120.064,174173
69,69,5zw0V8qKdQKqBBsm4I4wz2,Little Faith,The National,2010-05-11,0.418,0.725,7,-7.729,0,0.0359,0.418,0.128,0.0776,0.338,149.993,276640
70,70,0riCBdanE8M6z2VOoErDZw,Afraid Of Everyone,The National,2010-05-11,0.527,0.778,9,-7.639,0,0.0508,0.504,0.8,0.0997,0.24,126.027,259093
71,71,5JAWf4omEzwccQNE8Y6kvn,Bloodbuzz Ohio,The National,2010-05-11,0.39,0.834,9,-6.367,1,0.0444,0.0554,0.18,0.103,0.684,157.077,275933
72,72,000DcCEzHlmBNoVJ6CbMnw,Lemonworld,The National,2010-05-11,0.648,0.745,1,-8.546,1,0.0356,0.63,0.709,0.0902,0.588,126.008,203733
73,73,0ixsO0C70FhixBXjBgaCSP,Runaway,The National,2010-05-11,0.583,0.441,4,-10.321,1,0.0325,0.869,0.557,0.117,0.349,135.037,333787
74,74,3lhcaMmZQAlllPTu1CgMtK,Conversation 16,The National,2010-05-11,0.554,0.851,11,-7.61,0,0.0369,0.611,0.913,0.24,0.513,116.976,258933
75,75,1HWfQwxh9ADFMDDPv4lsYm,England,The National,2010-05-11,0.491,0.645,0,-8.955,0,0.0398,0.701,0.819,0.106,0.258,122.97,340187
76,76,3ORyzvDTTOJx9JIGxh2jBF,Vanderlyle Crybaby Geeks,The National,2010-05-11,0.468,0.513,9,-7.683,1,0.0282,0.702,0.000119,0.174,0.31,117.933,252200
77,77,3Zw7IDikRhDxRQlRRFZgb8,Fake Empire,The National,2007-05-22,0.325,0.77,0,-6.789,1,0.0334,0.143,0.901,0.0731,0.312,101.958,205040
78,78,7EaGVjF3Nz9nLtAcJGSHqz,Mistaken For Strangers,The National,2007-05-22,0.541,0.925,5,-5.302,1,0.0313,0.0544,0.867,0.298,0.747,133.002,210960
79,79,3iPuevyDnIJiKjY5AbrGV2,Brainy,The National,2007-05-22,0.505,0.823,9,-8.308,1,0.039,0.0305,0.731,0.104,0.763,170.047,198133
80,80,45CV4bEXeyfhPtKlMbXWty,Squalor Victoria,The National,2007-05-22,0.553,0.725,4,-6.778,1,0.0331,0.18,0.878,0.157,0.826,132.982,179333
81,81,6oSVNakrD0zF4PG3PRHNYd,Green Gloves,The National,2007-05-22,0.535,0.408,2,-10.448,1,0.0311,0.682,0.893,0.133,0.399,153.989,219467
82,82,3jJhAd1RoImIx5KJRfh6Rf,Slow Show,The National,2007-05-22,0.574,0.695,4,-8.387,1,0.032,0.657,0.864,0.148,0.513,150.032,248267
83,83,7y883gLtmTAfkM4RvAsTA1,Apartment Story,The National,2007-05-22,0.55,0.836,11,-5.485,1,0.0362,0.00837,0.758,0.0934,0.787,141.988,212533
84,84,155Xd1apPAbslc4WA49wPa,Start A War,The National,2007-05-22,0.655,0.445,0,-12.06,1,0.0274,0.875,0.634,0.115,0.14,130.012,196400
85,85,2oCtEQQ6BezDWy8qPxo6Wk,Guest Room,The National,2007-05-22,0.576,0.626,9,-7.541,1,0.028,0.119,0.888,0.14,0.546,135.954,198933
86,86,43N000HFpEvJN7F8UeBU9U,Racing Like A Pro,The National,2007-05-22,0.395,0.391,2,-9.771,0,0.0291,0.932,0.666,0.09,0.107,92.853,204240
87,87,4PRUsCNUV70lFhkF1ViOHj,Ada,The National,2007-05-22,0.556,0.505,7,-9.617,1,0.0296,0.641,0.884,0.103,0.144,116.944,243200
88,88,4q8AGDL52LwEQMjq1k9d5F,Gospel,The National,2007-05-22,0.574,0.31,0,-12.369,1,0.0272,0.827,0.499,0.107,0.214,83.013,269200
89,89,5lO1lL0w8hMiYqG1HhUdnf,"You’ve Done It Again, Virginia",The National,2008-05-20,0.565,0.536,7,-7.726,1,0.0356,0.767,0.134,0.0833,0.577,124.915,189067
90,90,5N0MxaA2TuMtIIRvlAbP9F,Santa Clara,The National,2008-05-20,0.385,0.434,2,-8.1,1,0.0261,0.618,0.199,0.107,0.371,84.338,245480
91,91,34x1T1IkGuOreXijqEk2L7,Blank Slate,The National,2008-05-20,0.597,0.799,10,-6.453,1,0.0373,0.111,0.764,0.0907,0.705,152.104,195880
92,92,40roRdcU0RG0xcTmvkdBSh,Tall Saint [Demo],The National,2008-05-20,0.611,0.661,6,-7.152,0,0.0267,0.422,0.809,0.108,0.343,109.998,224920
93,93,461iFIE3FlVTFB63VDshO4,Without Permission,The National,2008-05-20,0.626,0.544,2,-9.127,1,0.0581,0.348,0.218,0.107,0.0396,149.008,217013
94,94,2DINWrcehyk5xZ3Txq5Gxi,Forever After Days [Demo],The National,2008-05-20,0.663,0.483,10,-8.701,0,0.0386,0.828,0.148,0.111,0.0745,120.051,181613
95,95,24dY8djqjIAAUPojmrfwWv,Rest Of Years [Demo],The National,2008-05-20,0.725,0.509,0,-7.761,1,0.0276,0.562,0.0737,0.116,0.519,110.048,220627
0,0,5CQHf6LdOYDls2k51aSdMp,Secret Meeting,The National,2005-04-11,0.622,0.626,2,-5.553,1,0.0366,0.376,0.000864,0.265,0.625,111.957,224773
1,1,0hU8xGLtulEFP9iSj3TccE,Karen,The National,2005-04-11,0.659,0.622,0,-6.526,0,0.0243,0.273,0.794,0.0873,0.766,97.981,239120
2,2,10SCxBKIiQX4XYjSXCe92E,Lit Up,The National,2005-04-11,0.428,0.873,4,-5.101,1,0.0381,0.00282,0.0412,0.0735,0.598,149.859,175027
3,3,59MHBAZUOo9TyNzkjiY5L4,Looking for Astronauts,The National,2005-04-11,0.499,0.858,4,-6.465,0,0.035,0.0671,0.0771,0.205,0.889,138.566,203160
4,4,7zJmmMgxXodJ1QEfOprZ67,Daughters of the Soho Riots,The National,2005-04-11,0.564,0.444,9,-12.543,1,0.0313,0.644,0.702,0.125,0.309,85.995,238573
5,5,3yHHA4z2R7lKbUMIAkgEpz,Baby We'll Be Fine,The National,2005-04-11,0.46,0.829,4,-6.948,0,0.0389,0.339,0.0751,0.035,0.402,125.11,201533
6,6,2M1WIDu0PufwhR9Hq1Opkj,Friend of Mine,The National,2005-04-11,0.655,0.935,0,-5.526,1,0.0427,0.343,0.0129,0.144,0.815,127.436,205253
7,7,6lvQMMJKBPRx4JmSYyHJNs,Val Jester,The National,2005-04-11,0.473,0.457,11,-11.373,0,0.0275,0.713,0.876,0.0819,0.0617,114.335,180653
8,8,7Jh5PrfKP9GaEJpWl1awJv,All the Wine,The National,2005-04-11,0.605,0.853,0,-4.84,1,0.0265,0.000753,0.0531,0.0995,0.636,119.995,195320
9,9,67MnV8Vbo6ebOZKYp5oi3n,Abel,The National,2005-04-11,0.342,0.944,0,-3.873,1,0.0489,0.000348,0.257,0.0848,0.413,158.805,217027
10,10,2P0wcOqKqWJD27R15WbYut,The Geese of Beverly Road,The National,2005-04-11,0.538,0.8,5,-7.027,1,0.0299,0.0501,0.177,0.11,0.358,107.558,296787
11,11,6g59F2b8oeHjyoT1AQlgy4,City Middle,The National,2005-04-11,0.529,0.508,7,-8.655,0,0.0379,0.87,0.0309,0.141,0.378,141.917,267587
12,12,4g8Fn7fWwxculLpkPMxYU1,Mr. November,The National,2005-04-11,0.417,0.879,7,-4.187,1,0.0454,0.0234,1.74e-06,0.183,0.707,146.165,240493
13,13,1F3TIZ6IwFCI89LVMMCogS,Wasp Nest,The National,2004,0.495,0.368,5,-12.78,1,0.0254,0.601,0.0,0.0749,0.274,83.952,201800
14,14,6rNU1nYerjNeKV9Y4RvtGP,All the Wine,The National,2004,0.553,0.814,0,-5.93,1,0.028,0.000201,0.419,0.15,0.472,119.971,200133
15,15,3ylDbnvTHm3fWKJPJ6N6ur,All Dolled-Up in Straps,The National,2004,0.435,0.333,8,-14.169,1,0.0309,0.392,0.85,0.129,0.174,141.737,251000
16,16,1QTGqC5ZC69gwDlTQsWIlv,Cherry Tree,The National,2004,0.455,0.568,2,-7.804,0,0.0336,0.103,0.812,0.118,0.0545,142.03,267200
17,17,33xh6sgYhga7iQ7HARN7V6,About Today,The National,2004,0.556,0.618,0,-13.482,1,0.043,0.326,0.694,0.124,0.464,104.983,250760
18,18,0w2fakEFY7pzk0DjZaGJo4,A Reasonable Man [I Don't Mind],The National,2004,0.361,0.154,6,-15.539,0,0.0464,0.844,0.0352,0.105,0.0939,91.891,321973
19,19,1DWVotdec9ASHIxBPNKhcq,Cardinal Song,The National,2003,0.426,0.356,2,-11.364,1,0.0346,0.827,0.681,0.118,0.112,120.006,378040
20,20,0nuBXWdHmihJRSfjBeQ66d,Slipping Husband,The National,2003,0.612,0.615,0,-7.838,1,0.0331,0.0347,0.383,0.188,0.476,130.127,202747
21,21,7rI8NaGdlHTXh68RRwJEx6,90-Mile Water Wall,The National,2003,0.459,0.461,4,-8.167,1,0.0272,0.809,0.0591,0.104,0.106,103.183,224360
22,22,1ESSN0SqcPkA0TnmUz0MLm,It Never Happened,The National,2003,0.396,0.601,7,-8.342,1,0.0292,0.0902,0.637,0.252,0.181,133.251,277320
23,23,0s7r3qJ9igNWKjmG4bohXg,Murder Me Rachael,The National,2003,0.219,0.698,7,-4.765,1,0.0462,0.000954,0.839,0.107,0.207,147.985,225667
24,24,2Tc2GAbn05Qhekvvcr53Vp,Thirsty,The National,2003,0.529,0.385,7,-8.682,0,0.0265,0.199,0.292,0.32,0.498,130.956,228320
25,25,1SAbuxCnHtL0JjVec9aUVp,Available,The National,2003,0.297,0.871,1,-5.331,0,0.0619,0.00178,0.843,0.206,0.178,143.921,200027
26,26,5TaFWxhd3yILj0tmroeMVc,Sugar Wife,The National,2003,0.706,0.543,7,-9.875,0,0.0339,0.37,0.603,0.0796,0.863,110.092,141613
27,27,6lS2isFy2IWis7yXndBzdd,Trophy Wife,The National,2003,0.622,0.65,0,-9.713,1,0.0276,0.168,0.311,0.105,0.876,123.571,212907
28,28,5Ptu0t3YnytoIkV1CHKiUT,Fashion Coat,The National,2003,0.66,0.754,4,-6.506,1,0.059,0.13,0.00021,0.164,0.61,125.515,122667
29,29,0VfdJ1Pm3KH6OvVeuKofM7,Patterns of Fairytales,The National,2003,0.58,0.472,0,-9.674,1,0.0373,0.762,0.859,0.133,0.249,155.121,223827
30,30,4vj2E6lBenyt89cA1BmRsC,Lucky You,The National,2003,0.61,0.515,4,-8.882,1,0.0253,0.672,0.835,0.107,0.121,138.248,262160
31,31,2GQ1yZonzJ3OvwtGwtalQo,Beautiful Head,The National,2001-07-03,0.569,0.678,4,-8.735,1,0.0529,0.536,0.0367,0.0952,0.585,148.064,188400
32,32,71BVQ0mO9JSb6eS1D7Kdm0,Cold Girl Fever,The National,2001-07-03,0.79,0.396,9,-11.737,1,0.0436,0.788,0.739,0.112,0.594,117.995,246000
33,33,5g56mUgUJzZyXA3QrCMFIk,The Perfect Song,The National,2001-07-03,0.538,0.525,7,-9.348,1,0.0318,0.0242,0.239,0.092,0.461,125.72,195200
34,34,5Vny8RTpHn1tCoFdSAblJK,American Mary,The National,2001-07-03,0.64,0.324,7,-10.865,1,0.0272,0.544,0.0103,0.103,0.339,135.858,242893
35,35,3ycdZ665myY1HtOa2O3e1a,Son,The National,2001-07-03,0.76,0.477,0,-10.733,1,0.0298,0.0503,0.639,0.08,0.313,125.016,319733
36,36,5tf8adH7TPOPi2PUYy0JhN,Pay For Me,The National,2001-07-03,0.643,0.721,7,-8.074,1,0.0354,0.000301,0.0402,0.0789,0.378,122.263,202640
37,37,1FVEd8Xj4Px94EYzTCJu5Y,Bitters & Absolut,The National,2001-07-03,0.724,0.46,7,-13.282,1,0.0359,0.381,0.484,0.306,0.361,123.976,240027
38,38,048l4Jra9KOOaChJ37xhbd,John's Star,The National,2001-07-03,0.573,0.688,1,-8.372,1,0.0315,0.0354,0.0288,0.108,0.779,130.313,184867
39,39,5OClzWpstrjUmhHZqWizUu,Watching You Well,The National,2001-07-03,0.565,0.329,0,-11.866,1,0.0264,0.296,0.27,0.337,0.29,79.1,182440
40,40,04ZsnIwD3NgRLAYnfgMJXZ,Theory of the Crows,The National,2001-07-03,0.465,0.426,2,-9.042,1,0.0282,0.00292,0.574,0.11,0.166,134.216,276600
41,41,62A4OfzGcHffgrXnSiwgDT,29 Years,The National,2001-07-03,0.512,0.309,0,-21.426,1,0.211,0.927,0.38,0.337,0.0805,142.998,170493
42,42,7oiOSR2GELfik1yPj5VHvk,Anna Freud,The National,2001-07-03,0.849,0.266,9,-12.207,1,0.0453,0.45,0.299,0.11,0.519,100.915,187267
43,43,22V6MxhqgDVxSN20I6bycB,You’ve Done It Again Virginia,The National,2005-11-14,0.719,0.158,9,-16.816,0,0.0743,0.933,0.307,0.0868,0.364,122.247,186813
44,44,5n3s8MrwZLrMkrE1R2weAT,Wake Up Your Saints,The National,2010-11-22,0.524,0.689,8,-7.275,0,0.0304,0.168,0.0381,0.0699,0.409,168.087,254040
45,45,5aCnL27dI95P0r1uGPRqfD,You Were A Kindness,The National,2010-11-22,0.374,0.562,5,-8.374,1,0.0291,0.669,0.755,0.156,0.294,80.911,265560
46,46,7i1Sth8NmpLwvYAvyxo1R6,Walk Off,The National,2010-11-22,0.545,0.304,4,-9.066,0,0.0317,0.929,0.00421,0.095,0.158,71.94,160533
47,47,1ddp1oxOXc0UYAakLgbdib,Sin-Eaters,The National,2010-11-22,0.533,0.448,10,-9.104,0,0.0304,0.632,0.539,0.117,0.316,161.911,219387
48,48,1IbFHfVWUDNkhSY9PWt9th,Exile Vilify (From the Game Portal 2),The National,2011-04-19,0.512,0.373,8,-11.765,0,0.0289,0.777,0.501,0.11,0.204,120.059,285000
49,49,4ARUe13SJ4Ca1OpIjqtjVO,Think You Can Wait (From the Film Win Win),The National,2011-03-22,0.45,0.354,8,-12.4,0,0.027,0.769,0.884,0.112,0.403,154.165,277984
50,50,6IATEuuMeh5SymNQucovVo,"The Rains Of Castomere - From The ""Game Of Thrones: Season 2"" Soundtrack",The National,2012-01-01,0.397,0.0882,2,-23.012,0,0.0339,0.642,0.204,0.323,0.201,94.278,144253
51,51,4VeQ05HWIFQ1gqhsB2dvdq,Sunshine on My Back,The National,2015-04-02,0.511,0.808,2,-8.508,1,0.0408,0.239,0.0229,0.11,0.0806,116.892,219590
52,52,1hBSRE3ew8uQdb0tzkV6h5,Learning,The National,2013,0.374,0.19,0,-15.215,1,0.033,0.97,0.139,0.113,0.0795,123.237,181053
53,53,6UQZLRDqAYu3jD3PtepfBi,Lean - From “The Hunger Games: Catching Fire” Soundtrack,The National,2013-01-01,0.562,0.483,7,-8.87,1,0.031,0.742,0.622,0.0806,0.408,112.057,271267
54,54,2h0L6HcKZLpzEabxqQD8nH,Peggy-O,The National,2016-05-20,0.528,0.553,9,-13.786,1,0.0435,0.636,0.871,0.149,0.202,118.938,335288
55,55,1kyaGbDsB3ZyjyDYRQaHSe,Morning Dew,The National,2016-05-20,0.398,0.667,7,-7.004,1,0.0292,0.167,0.781,0.309,0.426,82.01,334898
